"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6"
"№","Идентификационный код ценной бумаги","Полное фирменное наименование эмитента ценных бумаг","Вид, категория (тип) ценной бумаги","Международный код (номер) идентификации ценных бумаг (ISIN)","Дата возобновления торгов с 10:00 мск"
"198","MPC","Marathon Petroleum Corporation","Акции иностранного эмитента обыкновенные","US56585A1025","10.08.2022"
"199","MPW","Medical Properties Trust, Inc.","Акции иностранного эмитента обыкновенные","US58463J3041","17.08.2022"
"200","MRK","Merck & Co., Inc.","Акции иностранного эмитента обыкновенные","US58933Y1055","10.08.2022"
"201","MRNA","Moderna, Inc.","Акции иностранного эмитента обыкновенные","US60770K1079","10.08.2022"
"202","MRO","Marathon Oil Corporation","Акции иностранного эмитента обыкновенные","US5658491064","10.08.2022"
"203","MRVI","Maravai LifeSciences Holdings, Inc.","Акции иностранного эмитента обыкновенные класса A","US56600D1072","17.08.2022"
"204","MS","Morgan Stanley","Акции иностранного эмитента обыкновенные","US6174464486","10.08.2022"
"205","MSFT","Microsoft Corporation","Акции иностранного эмитента обыкновенные","US5949181045","10.08.2022"
"206","MTG","MGIC Investment Corporation","Акции иностранного эмитента обыкновенные","US5528481030","17.08.2022"
"207","MU","Micron Technology, Inc.","Акции иностранного эмитента обыкновенные","US5951121038","10.08.2022"
"208","NAVI","Navient Corporation","Акции иностранного эмитента обыкновенные","US63938C1080","17.08.2022"
"209","NEE","NextEra Energy, Inc.","Акции иностранного эмитента обыкновенные","US65339F1012","10.08.2022"
"210","NEM","Newmont Corporation","Акции иностранного эмитента обыкновенные","US6516391066","10.08.2022"
"211","NEO","NeoGenomics, Inc.","Акции иностранного эмитента обыкновенные","US64049M2098","17.08.2022"
"212","NET","Cloudflare, Inc.","Акции иностранного эмитента обыкновенные класса A","US18915M1071","10.08.2022"
"213","NFLX","Netflix, Inc.","Акции иностранного эмитента обыкновенные","US64110L1061","10.08.2022"
"214","NKE","NIKE, Inc.","Акции иностранного эмитента обыкновенные класса B","US6541061031","10.08.2022"
"215","NOV","NOV Inc.","Акции иностранного эмитента обыкновенные","US62955J1034","17.08.2022"
"216","NOW","ServiceNow, Inc.","Акции иностранного эмитента обыкновенные","US81762P1021","10.08.2022"
"217","NRG","NRG Energy, Inc.","Акции иностранного эмитента обыкновенные","US6293775085","10.08.2022"
"218","NTES","The Bank of New York Mellon","Депозитарные расписки The Bank of New York Mellon, удостоверяющие права в отношении обыкновенных акций NetEase, Inc.","US64110W1027","10.08.2022"
"219","NTNX","Nutanix, Inc.","Акции иностранного эмитента обыкновенные класса A","US67059N1081","17.08.2022"
"220","NUE","Nucor Corporation","Акции иностранного эмитента обыкновенные","US6703461052","17.08.2022"
"221","NVDA","NVIDIA Corporation","Акции иностранного эмитента обыкновенные","US67066G1040","10.08.2022"
"222","NWSA","News Corporation","Акции иностранного эмитента обыкновенные класса A","US65249B1098","17.08.2022"
"223","NYCB","New York Community Bancorp, Inc.","Акции иностранного эмитента обыкновенные","US6494451031","17.08.2022"
"224","OGN","Organon & Co.","Акции иностранного эмитента обыкновенные","US68622V1061","17.08.2022"
"225","OI","O-I Glass, Inc.","Акции иностранного эмитента обыкновенные","US67098H1041","17.08.2022"
"226","OKE","ONEOK, Inc.","Акции иностранного эмитента обыкновенные","US6826801036","10.08.2022"
"227","OKTA","Okta, Inc.","Акции иностранного эмитента обыкновенные класса A","US6792951054","10.08.2022"
"228","OLN","Olin Corporation","Акции иностранного эмитента обыкновенные","US6806652052","17.08.2022"
"229","OMF","OneMain Holdings, Inc.","Акции иностранного эмитента обыкновенные","US68268W1036","17.08.2022"
"230","ON","ON Semiconductor Corporation","Акции иностранного эмитента обыкновенные","US6821891057","10.08.2022"
"231","ORCL","Oracle Corporation","Акции иностранного эмитента обыкновенные","US68389X1054","10.08.2022"
"232","OSTK","Overstock.com, Inc.","Акции иностранного эмитента обыкновенные","US6903701018","17.08.2022"
"233","OVV","Ovintiv Inc.","Акции иностранного эмитента обыкновенные","US69047Q1022","10.08.2022"
"234","OXY","Occidental Petroleum Corporation","Акции иностранного эмитента обыкновенные","US6745991058","10.08.2022"
"235","PANW","Palo Alto Networks, Inc.","Акции иностранного эмитента обыкновенные","US6974351057","17.08.2022"
"236","PARA","Paramount Global","Акции иностранного эмитента обыкновенные класса B","US92556H2067","10.08.2022"
